Borough,District,Number,Tract,Total,White,Black_African_American,American_Indian_and_Alaska_Native,Asian,Native_Hawaiian_and_Other_Pacific_Islander,Some_Other_Race,Multiple,Hispanic
Brooklyn,047,3,036100,"2,608",42,"1,986",22,21,0,23,48,466
Brooklyn,047,3,036200,"4,204","1,501",80,3,881,0,32,65,"1,642"
Brooklyn,047,3,036300,"4,108",22,"3,407",16,9,0,13,57,584
Brooklyn,047,3,036400,"2,405","1,241",46,7,600,0,6,36,469
Brooklyn,047,3,036501,"2,624",13,"2,254",3,3,0,0,50,301
Brooklyn,047,3,036502,"1,255",48,749,7,13,0,1,23,414
Brooklyn,047,3,036600,"4,767","1,996",83,24,"1,301",10,27,87,"1,239"
Brooklyn,047,3,036700,"1,305",18,740,0,13,0,7,25,502
Brooklyn,047,3,036900,"4,923",88,"3,412",16,43,1,18,64,"1,281"
Brooklyn,047,3,037000,"4,085","2,935",12,21,803,0,22,50,242
Brooklyn,047,3,037100,"4,120",38,"3,413",18,15,0,16,92,528
Brooklyn,047,3,037300,"3,784",64,"2,970",30,17,0,3,52,648
Brooklyn,047,3,037401,"4,301","3,522",77,2,425,0,2,64,209
Brooklyn,047,3,037402,"4,573","3,553",136,2,500,0,9,60,313
Brooklyn,047,3,037500,"2,910",114,"2,034",9,123,1,4,66,559
Brooklyn,047,3,037700,"3,660",113,"3,016",11,37,0,23,82,378
Brooklyn,047,3,037900,"3,706",30,"3,085",9,12,0,4,61,505
Brooklyn,047,3,038100,"4,763",75,"3,929",24,25,1,11,70,628
Brooklyn,047,3,038200,"5,943",361,"2,142",29,"1,356",1,3,81,"1,970"
Brooklyn,047,3,038300,"3,931",96,"3,309",25,28,0,18,63,392
Brooklyn,047,3,038500,"3,422",55,"2,682",22,58,7,7,67,524
Brooklyn,047,3,038600,"3,477","1,805",28,1,"1,037",0,3,43,560
Brooklyn,047,3,038700,"4,010",164,"2,845",15,60,1,8,91,826
Brooklyn,047,3,038800,"3,841","3,142",40,6,307,0,8,59,279
Brooklyn,047,3,038900,"2,773",468,182,6,213,0,9,40,"1,855"
Brooklyn,047,3,039000,"2,282","2,017",8,0,122,0,0,32,103
Brooklyn,047,3,039100,"2,303",294,180,7,125,0,2,25,"1,670"
Brooklyn,047,3,039200,"2,756","2,287",23,0,206,0,11,34,195
